ID,Date,Primary Type,Description,Location Description,Latitude,Longitude,Arrest,Domestic,Beat,District,Ward
1,2023-02-02 13:50:00,NARCOTICS,NARCOTICS - PARKING LOT,PARKING LOT,41.775551375900825,-87.55656083203546,False,False,761,20,36
2,2023-10-14 21:55:00,BATTERY,BATTERY - RESIDENCE,RESIDENCE,41.65124545307022,-87.71984562484178,False,False,933,14,23
3,2023-06-14 10:01:00,ASSAULT,ASSAULT - RESIDENCE,RESIDENCE,41.821833914806334,-87.87447309755834,False,False,729,9,4
4,2023-12-21 07:18:00,THEFT,THEFT - APARTMENT,APARTMENT,41.95724844852888,-87.5886466011705,True,False,519,19,35
5,2023-12-03 17:20:00,BATTERY,BATTERY - PARKING LOT,PARKING LOT,41.98700389297368,-87.76966985674474,False,False,516,4,35
6,2023-06-23 15:10:00,BATTERY,BATTERY - STREET,STREET,41.69076373962036,-87.632074402127,False,False,848,20,42
7,2023-06-08 20:29:00,NARCOTICS,NARCOTICS - PARKING LOT,PARKING LOT,41.75499135161207,-87.78466875842791,False,False,823,1,40
8,2023-10-15 05:27:00,ASSAULT,ASSAULT - SIDEWALK,SIDEWALK,41.86594034263681,-87.61793384854947,False,False,512,7,6
9,2023-06-10 11:00:00,ASSAULT,ASSAULT - PARKING LOT,PARKING LOT,41.78843848245725,-87.67390555740754,False,False,181,14,40
10,2023-04-21 22:36:00,THEFT,THEFT - RESIDENCE,RESIDENCE,41.61232713382718,-87.72531304430706,False,False,467,21,3
11,2023-11-09 07:40:00,CRIMINAL DAMAGE,CRIMINAL DAMAGE - RESIDENCE,RESIDENCE,41.71743750310667,-87.63523339410925,False,False,467,11,21
12,2023-10-25 02:49:00,THEFT,THEFT - PARKING LOT,PARKING LOT,41.66678916796308,-87.89091517074647,False,False,749,23,26
13,2023-12-09 09:19:00,BATTERY,BATTERY - STREET,STREET,41.878528150031094,-87.7215374897704,False,False,645,10,48
14,2023-02-01 23:48:00,ROBBERY,ROBBERY - APARTMENT,APARTMENT,41.647202360848205,-87.5152409341802,False,False,729,7,39
15,2023-04-06 07:35:00,THEFT,THEFT - PARKING LOT,PARKING LOT,41.77974460085752,-87.79110337526194,False,False,732,6,37
16,2023-04-22 16:10:00,BURGLARY,BURGLARY - STREET,STREET,41.83168782757676,-87.82929088682431,False,False,781,8,32
17,2023-02-21 04:21:00,BATTERY,BATTERY - SIDEWALK,SIDEWALK,41.85993864062193,-87.86622227154405,True,False,269,9,34
18,2023-02-22 18:01:00,THEFT,THEFT - RESIDENCE,RESIDENCE,41.641361187089025,-87.66494217112893,False,False,931,16,30
19,2023-04-18 14:02:00,ASSAULT,ASSAULT - STREET,STREET,41.98342368529658,-87.70707862522285,False,False,703,13,23
20,2023-12-09 07:21:00,THEFT,THEFT - GAS STATION,GAS STATION,41.82869122095043,-87.71060423957722,False,False,398,8,2
21,2023-05-13 17:49:00,CRIMINAL DAMAGE,CRIMINAL DAMAGE - PARKING LOT,PARKING LOT,41.958464308735905,-87.84390036440057,False,False,206,8,13
22,2023-08-29 16:32:00,THEFT,THEFT - SIDEWALK,SIDEWALK,41.89079784571476,-87.59254100323294,False,True,923,4,28
23,2023-07-19 13:59:00,BATTERY,BATTERY - APARTMENT,APARTMENT,41.93191589725296,-87.57669941117429,False,False,659,13,46
24,2023-04-04 10:15:00,THEFT,THEFT - RESIDENCE,RESIDENCE,41.974417428019585,-87.8341568729672,False,False,491,3,38
25,2023-11-05 15:49:00,BATTERY,BATTERY - GAS STATION,GAS STATION,41.95737865587915,-87.69245665584543,False,False,468,10,45
26,2023-02-04 11:31:00,ROBBERY,ROBBERY - GAS STATION,GAS STATION,41.89871584453961,-87.79501579363085,False,False,316,23,8
27,2023-09-30 13:26:00,THEFT,THEFT - RESIDENCE,RESIDENCE,41.839753116608335,-87.55017518366502,False,False,388,25,25
28,2023-07-02 18:29:00,THEFT,THEFT - RESIDENCE,RESIDENCE,41.6575590010205,-87.89442548491672,False,False,218,8,26
29,2023-12-05 12:55:00,ASSAULT,ASSAULT - PARKING LOT,PARKING LOT,41.832446643688364,-87.82008973933598,False,False,842,4,22
30,2023-02-15 04:04:00,BATTERY,BATTERY - STREET,STREET,41.97102502040261,-87.74096872247003,False,False,539,14,15
31,2023-12-17 12:05:00,CRIMINAL DAMAGE,CRIMINAL DAMAGE - GAS STATION,GAS STATION,41.609943796554504,-87.67792078306928,False,False,773,11,1
32,2023-12-19 16:11:00,ASSAULT,ASSAULT - APARTMENT,APARTMENT,41.83841702129375,-87.52679071135992,False,True,520,17,6
33,2023-04-16 02:16:00,CRIMINAL DAMAGE,CRIMINAL DAMAGE - PARKING LOT,PARKING LOT,41.91872683533007,-87.80694370321343,False,False,777,16,15
34,2023-05-31 14:07:00,NARCOTICS,NARCOTICS - GAS STATION,GAS STATION,41.74967361736287,-87.7296471654506,False,False,879,7,12
35,2023-12-30 00:31:00,THEFT,THEFT - PARKING LOT,PARKING LOT,41.92662750536957,-87.85788876805836,False,False,272,21,16
36,2023-04-24 06:31:00,THEFT,THEFT - STREET,STREET,41.65754877318846,-87.53161181100502,False,False,355,14,2
37,2023-09-16 19:09:00,CRIMINAL DAMAGE,CRIMINAL DAMAGE - STREET,STREET,41.669856588374344,-87.87864722694914,False,False,844,8,50
38,2023-07-04 03:38:00,THEFT,THEFT - APARTMENT,APARTMENT,41.950001976893844,-87.55954734927113,False,False,263,17,29
39,2023-12-13 07:50:00,CRIMINAL DAMAGE,CRIMINAL DAMAGE - APARTMENT,APARTMENT,41.61970164797104,-87.75055434461618,False,False,195,2,21
40,2023-12-04 13:36:00,ROBBERY,ROBBERY - RESIDENCE,RESIDENCE,41.63964525663195,-87.5625700193609,False,False,980,16,33
41,2023-08-13 22:38:00,CRIMINAL DAMAGE,CRIMINAL DAMAGE - PARKING LOT,PARKING LOT,41.65382088336526,-87.68557278562095,False,False,804,10,35
42,2023-08-22 10:34:00,BATTERY,BATTERY - STREET,STREET,41.70658532700034,-87.84409263561842,False,False,474,13,19
43,2023-09-26 23:38:00,THEFT,THEFT - RESIDENCE,RESIDENCE,41.751785631890776,-87.62570266181763,False,False,867,13,39
44,2023-04-30 20:26:00,NARCOTICS,NARCOTICS - RESIDENCE,RESIDENCE,41.814173915932,-87.56057580449055,False,False,823,2,15
45,2023-03-06 12:03:00,BURGLARY,BURGLARY - PARKING LOT,PARKING LOT,41.68096183725029,-87.62208074847261,False,False,671,3,32
46,2023-09-22 21:16:00,THEFT,THEFT - GAS STATION,GAS STATION,41.63379728752941,-87.52562407091976,False,False,962,12,40
47,2023-12-30 18:44:00,CRIMINAL DAMAGE,CRIMINAL DAMAGE - PARKING LOT,PARKING LOT,41.978410825126936,-87.79864665846434,False,False,250,5,7
48,2023-07-26 04:58:00,CRIMINAL DAMAGE,CRIMINAL DAMAGE - PARKING LOT,PARKING LOT,41.82897220561354,-87.71360593880752,False,False,786,6,30
49,2023-02-20 18:49:00,THEFT,THEFT - GAS STATION,GAS STATION,41.64789343540045,-87.85315857363996,False,False,928,20,11
50,2023-09-02 23:59:00,ASSAULT,ASSAULT - SIDEWALK,SIDEWALK,41.733455103331295,-87.54065338105539,False,False,343,8,8
51,2023-12-17 20:58:00,BATTERY,BATTERY - STREET,STREET,41.9744509853503,-87.7248383851205,False,False,953,24,19
52,2023-10-12 19:26:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT - STREET,STREET,41.791747825649814,-87.74945621060768,False,False,745,7,43
53,2023-11-17 10:42:00,NARCOTICS,NARCOTICS - SIDEWALK,SIDEWALK,41.64876867133405,-87.66469680001232,True,False,749,21,22
54,2023-04-18 19:20:00,BATTERY,BATTERY - SIDEWALK,SIDEWALK,41.783419232719424,-87.72307434917285,False,False,925,10,50
55,2023-01-17 02:56:00,THEFT,THEFT - GAS STATION,GAS STATION,41.71356337514562,-87.56524136813563,False,False,222,17,32
56,2023-02-03 00:15:00,THEFT,THEFT - APARTMENT,APARTMENT,41.958813359558654,-87.88840019871822,False,False,228,1,46
57,2023-04-16 10:50:00,THEFT,THEFT - SIDEWALK,SIDEWALK,41.61446508419788,-87.89782806634852,False,False,965,6,15
58,2023-11-07 00:49:00,ROBBERY,ROBBERY - STREET,STREET,41.622892776061306,-87.57961445854333,False,False,794,12,3
59,2023-06-16 12:15:00,NARCOTICS,NARCOTICS - RESIDENCE,RESIDENCE,41.64996947172226,-87.6981876039228,False,False,503,4,41
